Id,SalePrice
1461,129366.375
1462,164730.15625
1463,192812.0625
1464,191045.703125
1465,179564.328125
1466,168326.265625
1467,178768.359375
1468,158452.109375
1469,192309.515625
1470,139002.46875
1471,192478.15625
1472,122096.4296875
1473,100498.484375
1474,153700.296875
1475,114069.5
1476,368271.65625
1477,246049.328125
1478,287832.78125
1479,281656.84375
1480,432616.34375
1481,303990.84375
1482,192810.171875
1483,191995.6875
1484,169974.0
1485,172437.234375
1486,194533.671875
1487,310491.59375
1488,239526.953125
1489,189996.078125
1490,188817.34375
1491,200642.859375
1492,97793.0859375
1493,199410.46875
1494,276344.125
1495,271519.53125
1496,235346.40625
1497,183832.390625
1498,154679.78125
1499,150821.25
1500,142228.53125
1501,174379.796875
1502,135785.203125
1503,233887.421875
1504,221623.828125
1505,225962.8125
1506,218187.0625
1507,271934.40625
1508,190333.453125
1509,153239.0
1510,143076.796875
1511,161353.46875
1512,187790.03125
1513,141939.421875
1514,200421.515625
1515,266632.1875
1516,169446.625
1517,163830.640625
1518,119174.3359375
1519,237679.921875
1520,147075.421875
1521,136337.34375
1522,177434.984375
1523,116614.515625
1524,126190.171875
1525,124669.0859375
1526,141203.25
1527,105652.4765625
1528,149260.671875
1529,145934.640625
1530,199905.875
1531,113684.0078125
1532,107724.0859375
1533,166894.390625
1534,125340.890625
1535,169721.828125
1536,121673.6796875
1537,67173.3125
1538,165160.046875
1539,211399.328125
1540,127041.75
1541,142747.8125
1542,152342.15625
1543,196933.515625
1544,102409.09375
1545,118590.484375
1546,123113.7578125
1547,134430.265625
1548,135684.03125
1549,126705.0546875
1550,105747.1640625
1551,125822.5390625
1552,157372.703125
1553,158852.015625
1554,119502.9765625
1555,152425.5625
1556,101004.015625
1557,126669.3046875
1558,87112.5234375
1559,113406.265625
1560,132598.625
1561,127668.7734375
1562,123717.3203125
1563,117029.9765625
1564,170878.140625
1565,153744.859375
1566,224496.171875
1567,80497.1640625
1568,218651.375
1569,118715.5703125
1570,144744.4375
1571,126040.3984375
1572,142649.703125
1573,280315.125
1574,109011.3203125
1575,239256.5625
1576,228836.703125
1577,191316.5625
1578,158679.453125
1579,150142.40625
1580,186912.59375
1581,144577.984375
1582,131729.546875
1583,327783.0
1584,224428.796875
1585,137196.328125
1586,87282.7890625
1587,112939.0390625
1588,155054.359375
1589,109975.96875
1590,133846.625
1591,97856.71875
